#Leaf_name	Clade_name	Clade_desc
etnangien_EtnD1_KS1_unusualStarters_Succ	Clade_6	Unusual starter aminotransferase
sorangicin_SorA1_KS1_unusualStarter	Clade_6	Unusual starter aminotransferase
dorrigocin_migrastatin_MgsE1_KS1_unusualStarter_AMT	Clade_6	Unusual starter aminotransferase
9-methylstreptimidone_SmdI1_KS1_unusualstarter_AMT	Clade_6	Unusual starter aminotransferase
cycloheximide_ChxE1_KS1_unusualStarter_AMT	Clade_6	Unusual starter aminotransferase
thailandamide_TaiD1_KS1_aromaticStarter	Clade_104	Acetyl or aromatic starter
thiomarinol_TmpD1_KS1_acetylStarter	Clade_104	Acetyl or aromatic starter
mupirocin_MmpD1_KS1_acetylStarter	Clade_104	Acetyl or aromatic starter
kalimantacin_batumin_Bat11_KS1_AcStarter	Clade_8	GCN5-related N-acetyltransferase starter
onnamide_OnnB1_KS1_GNATstarter	Clade_8	GCN5-related N-acetyltransferase starter
nosperin_NspA1_KS1_GNATstarter	Clade_8	GCN5-related N-acetyltransferase starter
pederin_PedI1_KS1_GNATStarter	Clade_8	GCN5-related N-acetyltransferase starter
diaphorin_DipP1_KS1_GNATstarter	Clade_8	GCN5-related N-acetyltransferase starter
psymberin_PsyA1_KS1_GNATStarter	Clade_8	GCN5-related N-acetyltransferase starter
basiliskamides_P615_14890_KS5_eDB	Clade_8	GCN5-related N-acetyltransferase starter
bryostatin_BryX1_KS14_GNATstarter	Clade_8	GCN5-related N-acetyltransferase starter
calyculin_CalE2_KS11_aketo	Clade_8	GCN5-related N-acetyltransferase starter
griseoviridin_SgvE11_KS1_acetylStarter	Clade_7	Starter
virginiamycin_VirA1_KS1_unusualstarter	Clade_7	Starter
kirromycin_KirAI1_KS1_AcStarter	Clade_7	Starter
albicidin_AlbI1_KS1_aromaticStarter_AL	Clade_10	Aromatic starter
elansolid_Cpin_ElsI1_KS1_aromaticstarter	Clade_10	Aromatic starter
elansolid_Csan_ElaJ1_KS1_aromaticstarter	Clade_10	Aromatic starter
oocydin_Ddad_OocL1_KS3_rearrangement	Clade_11	Oxygen insertion
oocydin_Smar_OocL1_KS3_rearrangement	Clade_11	Oxygen insertion
pederin_PedH1_KS10_rearrangement	Clade_11	Oxygen insertion
diaphorin_DipO1_KS10_rearrangement	Clade_11	Oxygen insertion
sorangicin_SorB4_KS11_red	Clade_12	Reduced or shifted double bonds
sorangicin_SorA2_KS2_red	Clade_12	Reduced or shifted double bonds
bacillaene_Bamy_BaeJ2_KS2_red	Clade_12	Reduced or shifted double bonds
bacillaene_Bsub_PksJ2_KS2_red	Clade_12	Reduced or shifted double bonds
difficidin_DifF3_KS3_red	Clade_12	Reduced or shifted double bonds
difficidin_DifI3_KS9_red	Clade_12	Reduced or shifted double bonds
bacillaene_Bamy_BaeN2_KS11_shDB	Clade_12	Reduced or shifted double bonds
bacillaene_Bsub_PksN2_KS12_shDB	Clade_12	Reduced or shifted double bonds
bacillaene_Bsub_PksN3_KS13_shDB	Clade_12	Reduced or shifted double bonds
bacillaene_Bamy_BaeN3_KS12_shDB	Clade_12	Reduced or shifted double bonds
calyculin_CalE3_KS12_aDMebLOH	Clade_12	Reduced or shifted double bonds
pederin_PedH2_KS11_red	Clade_12	Reduced or shifted double bonds
diaphorin_DipO2_KS11_DB	Clade_12	Reduced or shifted double bonds
calyculin_CalA2_KS2_AAser	Clade_12	Reduced or shifted double bonds
phormidolide_phmE_3_KS3_bOH	Clade_12	Reduced or shifted double bonds
oocydin_Smar_OocR2_KS12_shDB	Clade_12	Reduced or shifted double bonds
oocydin_Ddad_OocR2_KS12_shDB	Clade_12	Reduced or shifted double bonds
oocydin_Smar_OocN5_KS9_red	Clade_12	Reduced or shifted double bonds
oocydin_Ddad_OocN5_KS9_red	Clade_12	Reduced or shifted double bonds
dorrigocin_migrastatin_MgsF6_KS9_eDB	Clade_12	Reduced or shifted double bonds
dorrigocin_migrastatin_MgsG1_KS10_red	Clade_12	Reduced or shifted double bonds
myxovirescin_Ta15_KS5_red	Clade_12	Reduced or shifted double bonds
myxovirescin_TaO3_KS10_bketo	Clade_12	Reduced or shifted double bonds
rhizoxins_RhiD2_KS10_shD	Clade_12	Reduced or shifted double bonds
myxovirescin_TaO4_KS11_red	Clade_12	Reduced or shifted double bonds
kalimantacin_batumin_Bat32_KS9_eDB	Clade_12	Reduced or shifted double bonds
bongkrekic_acid_BonB2_KS8_red	Clade_12	Reduced or shifted double bonds
myxovirescin_TaO2_KS9_red	Clade_12	Reduced or shifted double bonds
thiomarinol_TmpB2_KS9_0rearrangement	Clade_12	Reduced or shifted double bonds
etnangien_EtnG1_KS11_red	Clade_12	Reduced or shifted double bonds
myxopyronin_MxnI1_KS1_unusualstarter	Clade_19	Methoxycarbonyl starter
corallopyronin_CorI1_KS1_unusualStarter_methoxycarbonyl	Clade_19	Methoxycarbonyl starter
kirromycin_KirAIV3_KS9_aMebketo	Clade_22	Alpha-methyl beta-keto or beta-hydroxyl
kirromycin_KirAII2_KS4_diMbLOH	Clade_22	Alpha-methyl beta-keto or beta-hydroxyl
kirromycin_KirAII3_KS5_bDOH	Clade_22	Alpha-methyl beta-keto or beta-hydroxyl
onnamide_OnnI5_KS8_pyran	Clade_23	Pyran or furan
diaphorin_DipT5_KS8_pyran	Clade_23	Pyran or furan
pederin_PedF5_KS8_pyran	Clade_23	Pyran or furan
misakinolide_MisF2_KS16_pyran	Clade_23	Pyran or furan
tolytoxin_TtoF2_KS16_pyran	Clade_23	Pyran or furan
luminaolid_LumE2_KS16_pyran	Clade_23	Pyran or furan
thailanstatin_TstDEF3_KS6_pyran	Clade_23	Pyran or furan
FR901464_Fr9F3_KS6_pyran	Clade_23	Pyran or furan
phormidolide_phmH_4_KS12_furan	Clade_23	Pyran or furan
sorangicin_SorB2_KS9_pyran	Clade_23	Pyran or furan
sorangicin_SorE2_KS16_pyran	Clade_23	Pyran or furan
sorangicin_SorH1_KS20_pyrane	Clade_23	Pyran or furan
bryostatin_BryC2_KS9_pyran	Clade_23	Pyran or furan
oocydin_Smar_OocN4_KS8_furan	Clade_23	Pyran or furan
oocydin_Ddad_OocN4_KS8_furan	Clade_23	Pyran or furan
psymberin_PsyD5_KS7_pyran	Clade_23	Pyran or furan
macrolactin_MlnB3_KS3_red	Clade_26	Reduced
corallopyronin_CorK3_KS9_red	Clade_26	Reduced
myxopyronin_MxnK3_KS9_red	Clade_26	Reduced
corallopyronin_CorL2_KS11_red	Clade_26	Reduced
myxopyronin_MxnJ3_KS6_redaLMe	Clade_105	Reduced or shifted double bonds
corallopyronin_CorJ3_KS6_aDMe	Clade_105	Reduced or shifted double bonds
luminaolid_LumA2_KS2_aDMeshDB	Clade_105	Reduced or shifted double bonds
tolytoxin_TtoC2_KS2_aDMeshDB	Clade_105	Reduced or shifted double bonds
leinamycin_LnmJ4_KS7_red	Clade_105	Reduced or shifted double bonds
anthracimycin_AtcD3_KS3_eDB	Clade_107	E-configured double bonds
chlorotonil_CtoC3_KS3_eDB	Clade_107	E-configured double bonds
misakinolide_MisC2_KS2_bDOH	Clade_29	Beta-hydroxyl or keto
macrolactin_MlnD2_KS6_bDOH	Clade_29	Beta-hydroxyl or keto
legioliulin_LglD3_KS3_bketo	Clade_29	Beta-hydroxyl or keto
kirromycin_KirAIV4_KS10_bLOH	Clade_29	Beta-hydroxyl or keto
anthracimycin_AtcF3_KS10_bketo	Clade_29	Beta-hydroxyl or keto
chlorotonil_CtoE2_KS10_bketo	Clade_29	Beta-hydroxyl or keto
chivosazole_ChiC5_KS8_bLOH	Clade_29	Beta-hydroxyl or keto
oxazolomycin_OzmH2_KS6_AAgly	Clade_30	Glycine
rhizopodin_RizB1_KS1_AAgly	Clade_30	Glycine
tolytoxin_TtoC1_KS1_AAgly	Clade_30	Glycine
luminaolid_LumA1_KS1_AAgly	Clade_30	Glycine
myxopyronin_MxnI2_KS2_AAgly	Clade_30	Glycine
corallopyronin_CorI2_KS2_AAGly	Clade_30	Glycine
corallopyronin_CorI3_KS3_0bimod_eDB	Clade_31	E-configured double bonds
myxopyronin_MxnI3_KS3_biMod_eDB	Clade_31	E-configured double bonds
rhizopodin_RizB2_KS2_eDB	Clade_31	E-configured double bonds
thailandamide_TaiD4_KS4_0redaDMe	Clade_33	Non-elongating
rhizoxins_RhiA1_KS1_0GNATStarter	Clade_33	Non-elongating
bacillaene_Bsub_PksR2_KS15_OshDBaMe	Clade_33	Non-elongating
bacillaene_Bamy_BaeR2_KS14_0shDBMe	Clade_33	Non-elongating
calyculin_CalH1_KS25_bMeDB	Clade_33	Non-elongating
calyculin_CalB4_KS6_0redaLMe	Clade_33	Non-elongating
oocydin_Ddad_OocN6_KS10_0bketo	Clade_33	Non-elongating
oocydin_Smar_OocN6_KS10_0bketo	Clade_33	Non-elongating
rhizopodin_RizE3_KS19_0bLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
oocydin_Ddad_OocR1_KS11_obimod_bOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
oocydin_Smar_OocR1_KS11_0bimod_bOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
myxovirescin_Ta13_KS3_0bLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
diaphorin_DipT1_KS4_0acetal	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
pederin_PedF1_KS4_0hacetal	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
onnamide_OnnI1_KS4_0hacetale	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
nosperin_NspC1_KS4_0hacetal	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
psymberin_PsyD1_KS3_bimod_0bLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
calyculin_CalB1_KS3_KS0_bLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
phormidolide_phmH_1_KS9_0aMebOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
oocydin_Ddad_OocN1_KS5_0aDOHbLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
oocydin_Smar_OocN1_KS5_0aDOHbLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
calyculin_CalF1_KS16_0_bLOH_aLMebLOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
thiomarinol_TmpA1_KS5_0bDOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
mupirocin_MmpA1_KS5_0bDOH	Clade_34	Non-elongating hemiacetal or beta-hydroxyl
tartrolon_TrtE2_KS5_0red	Clade_36	Non-elongating reduced or beta-hydroxyl
thailanstatin_TstI1_KS11_0bDOH	Clade_36	Non-elongating reduced or beta-hydroxyl
FR901464_Fr9I1_KS11_0bDOH	Clade_36	Non-elongating reduced or beta-hydroxyl
tartrolon_TrtF3_KS11_redaDMe	Clade_38	Mainly reduced
tartrolon_TrtD_KS22_red	Clade_38	Mainly reduced
tartrolon_TrtE4_KS7_bLOH	Clade_38	Mainly reduced
rhizoxins_RhiF1_KS15_vinylogous	Clade_39	Vinylogous chain branching
dorrigocin_migrastatin_MgsE3_KS3_vinylogous	Clade_39	Vinylogous chain branching
cycloheximide_ChxE3_KS3_vinylogous	Clade_39	Vinylogous chain branching
9-methylstreptimidone_SmdI3_KS3_vinylogous	Clade_39	Vinylogous chain branching
enacyloxin_Bamb_59221_KS5_bDOH	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59231_KS4_bLOH	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59201_KS8_eDB	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59191_KS10_bketo	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59242_KS2_eDB	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59243_KS3_bDOH	Clade_98	Beta-hydroxyl or E-configured double bonds
enacyloxin_Bamb_59212_KS7_bDOH	Clade_98	Beta-hydroxyl or E-configured double bonds
bongkrekic_acid_BonA_KS11_GNATstarter	Clade_40	cis-AT PKS-like
enacyloxin_Bamb_59202_KS9_aMeDB	Clade_40	cis-AT PKS-like
2qo3_chainA_EryKS3_OUTGROUP	Clade_40	cis-AT PKS-like
2hg4_chainA_EryKS5_OUTGROUP	Clade_40	cis-AT PKS-like
SIA7248_SiaI1_KS13_2biMod_OH	Clade_40	cis-AT PKS-like
psymberin_PsyD9_KS11_bketo	Clade_40	cis-AT PKS-like
misakinolide_MisC1_KS1_acetylStarter	Clade_41	Acetyl starter
myxopyronin_MxnK1_KS7_starter	Clade_41	Acetyl starter
corallopyronin_CorK1_KS7_acetyl	Clade_41	Acetyl starter
macrolactin_MlnB1_KS1_acetylStarter	Clade_41	Acetyl starter
chlorotonil_CtoC1_KS1_acetylStarter	Clade_41	Acetyl starter
anthracimycin_AtcD1_KS1_acetylStarter	Clade_41	Acetyl starter
disorazole_DszA1_KS1_acetylStarter	Clade_41	Acetyl starter
tartrolon_TrtE1_KS4_eDB	Clade_42	Double bonds or double bonds starter
difficidin_DifF1_KS1_unusualStarters_acryloyl	Clade_42	Double bonds or double bonds starter
disorazole_DszA2_KS2_eDB	Clade_42	Double bonds or double bonds starter
myxopyronin_MxnK2_KS8_0red	Clade_42	Double bonds or double bonds starter
corallopyronin_CorK2_KS8_eDB	Clade_42	Double bonds or double bonds starter
disorazole_DszB2_KS6_zDB	Clade_43	Z-configured double bonds
disorazole_DszB1_KS5_zDB	Clade_43	Z-configured double bonds
oxazolomycin_OzmN3_KS4_zDB	Clade_43	Z-configured double bonds
rhizoxins_RhiB2_KS3_AAoxa	Clade_44	Oxazole or thiazole
calyculin_CalC2_KS8_AAoxa	Clade_44	Oxazole or thiazole
chivosazole_ChiD2_KS11_AAoxz	Clade_44	Oxazole or thiazole
rhizopodin_RizD2_KS12_AAoxa	Clade_44	Oxazole or thiazole
SIA7248_SiaD1_KS1_unusualStarter_lactate	Clade_45	Lactate starter
tartrolon_TrtD1_KS1_unusualStarter_lactate	Clade_45	Lactate starter
bryostatin_BryA1_KS1_lactateStarter	Clade_45	Lactate starter
FR901464_Fr9C1_KS1_unusualstarter_lactate	Clade_45	Lactate starter
thailanstatin_TstC1_KS1_lactateStarter	Clade_45	Lactate starter
calyculin_CalG2_KS22_aMeDB	Clade_47	Alpha-methyl E-configured double bonds
sorangicin_SorA4_KS4_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
sorangicin_SorC1_KS12_eDB	Clade_47	Alpha-methyl E-configured double bonds
thailandamide_TaiM3_KS15_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
malleilactone_burkholderic_acid_BurF2_KS2_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
rhizoxins_RhiC1_KS6_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
albicidin_AlbI2_KS2_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
FR901464_Fr9F4_KS7_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
thailanstatin_TstDEF4_KS7_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
difficidin_DifI1_KS7_aMezDB	Clade_47	Alpha-methyl E-configured double bonds
elansolid_Csan_ElaQ3_KS13_aMeDB	Clade_47	Alpha-methyl E-configured double bonds
elansolid_Cpin_ElsP3_KS13_aMeDB	Clade_47	Alpha-methyl E-configured double bonds
elansolid_Cpin_ElsI2_KS2_eDB	Clade_47	Alpha-methyl E-configured double bonds
elansolid_Csan_ElaJ2_KS2_eDB	Clade_47	Alpha-methyl E-configured double bonds
bacillaene_Bsub_PksM2_KS9_zDBaMe	Clade_47	Alpha-methyl E-configured double bonds
bacillaene_Bamy_BaeM2_KS9_zDBaMe	Clade_47	Alpha-methyl E-configured double bonds
rhizoxins_RhiB3_KS4_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
tolytoxin_TtoF4_KS18_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
misakinolide_MisF4_KS18_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
difficidin_DifF2_KS2_aMeeDB	Clade_47	Alpha-methyl E-configured double bonds
chivosazole_ChiC4_KS7_eDB	Clade_48	Alpha-methyl E-configured double bonds
oxazolomycin_OzmH1_KS5_aMezDB	Clade_48	Alpha-methyl E-configured double bonds
myxopyronin_MxnJ2_KS5_0redaLMe	Clade_48	Alpha-methyl E-configured double bonds
corallopyronin_CorJ2_KS5_0aMe	Clade_48	Alpha-methyl E-configured double bonds
chivosazole_ChiF1_KS15_aMeeDB	Clade_48	Alpha-methyl E-configured double bonds
lankacidin_LkcC1_KS2_aMeeDB	Clade_48	Alpha-methyl E-configured double bonds
leinamycin_LnmJ3_KS6_aMeDB	Clade_48	Alpha-methyl E-configured double bonds
myxopyronin_MxnK5_KS11_aMeDB	Clade_48	Alpha-methyl E-configured double bonds
corallopyronin_CorL4_KS13_aMeDB	Clade_48	Alpha-methyl E-configured double bonds
chlorotonil_CtoC2_KS2_bOH	Clade_50	Beta-hydroxyl
anthracimycin_AtcD2_KS2_bOH	Clade_50	Beta-hydroxyl
macrolactin_MlnB2_KS2_bDOH	Clade_50	Beta-hydroxyl
misakinolide_MisC3_KS3_0bimod_bDOMe	Clade_49	Non-elongating beta-hydroxyl
luminaolid_LumA3_KS3_0bimod_aDMebDOH	Clade_49	Non-elongating beta-hydroxyl
tolytoxin_TtoC3_KS3_0aDMebDOH	Clade_49	Non-elongating beta-hydroxyl
rhizopodin_RizE1_KS17_obimod_bLOH	Clade_49	Non-elongating beta-hydroxyl
rhizopodin_RizB3_KS3_0bimod_aDMebDOH	Clade_49	Non-elongating beta-hydroxyl
rhizopodin_RizD3_KS13_0bimod_bDOH	Clade_49	Non-elongating beta-hydroxyl
rhizopodin_RizB7_KS7_0bimodbDOH	Clade_49	Non-elongating beta-hydroxyl
chivosazole_ChiC6_KS9_0aDMebDOH	Clade_49	Non-elongating beta-hydroxyl
tartrolon_TrtF1_KS9_bDOH	Clade_51	Beta-hydroxyl
griseoviridin_SgvE32_KS6_bLOH	Clade_51	Beta-hydroxyl
virginiamycin_VirG1_KS6_bDOH	Clade_51	Beta-hydroxyl
thailandamide_TaiL3_KS11_bDOH	Clade_52	Beta-hydroxyl or E-configured double bonds
dorrigocin_migrastatin_MgsF1_KS4_bDOH_eDB	Clade_52	Beta-hydroxyl or E-configured double bonds
cycloheximide_ChxE4_KS4_bDOH	Clade_52	Beta-hydroxyl or E-configured double bonds
9-methylstreptimidone_SmdI4_KS4_eDB	Clade_52	Beta-hydroxyl or E-configured double bonds
FR901464_Fr9GH2_KS10_exometh	Clade_52	Beta-hydroxyl or E-configured double bonds
thailanstatin_TstGH2_KS9_bDOH	Clade_52	Beta-hydroxyl or E-configured double bonds
myxovirescin_Ta14_KS4_bLOH	Clade_53	Mostly alpha-hydroxyl beta-hydroxyl
thiomarinol_TmpA2_KS6_aDOHbDOH	Clade_53	Mostly alpha-hydroxyl beta-hydroxyl
mupirocin_MmpA2_KS6_aDOHbDOH	Clade_53	Mostly alpha-hydroxyl beta-hydroxyl
calyculin_CalF2_KS17_aDOHbDOH	Clade_53	Mostly alpha-hydroxyl beta-hydroxyl
onnamide_OnnB2_KS2_aLMeDOH	Clade_58	Alpha-L-methyl beta-D-hydroxyl
nosperin_NspA2_KS2_aLMebDOH	Clade_58	Alpha-L-methyl beta-D-hydroxyl
diaphorin_DipP2_KS2_aLMebDOH	Clade_58	Alpha-L-methyl beta-D-hydroxyl
pederin_PedI2_KS2_aLMebDOH	Clade_58	Alpha-L-methyl beta-D-hydroxyl
psymberin_PsyD3_KS5_bDOH	Clade_59	Beta-D-hydroxyl
onnamide_OnnI3_KS6_bDOH	Clade_59	Beta-D-hydroxyl
pederin_PedF3_KS6_bDOH	Clade_59	Beta-D-hydroxyl
diaphorin_DipT3_KS6_bDOH	Clade_59	Beta-D-hydroxyl
bryostatin_BryD2_KS13_0bDOH	Clade_60	Non-elongating beta-hydroxyl
misakinolide_MisF3_KS17_bDOH	Clade_59	Beta-D-hydroxyl
tolytoxin_TtoF3_KS17_bDOH	Clade_59	Beta-D-hydroxyl
luminaolid_LumE3_KS17_bDOH	Clade_59	Beta-D-hydroxyl
misakinolide_MisE3_KS13_bDOH	Clade_59	Beta-D-hydroxyl
tolytoxin_TtoE7_KS13_bDOH	Clade_59	Beta-D-hydroxyl
luminaolid_LumD3_KS13_bDOH	Clade_59	Beta-D-hydroxyl
FR901464_Fr9C2_KS2_0bOH	Clade_60	Non-elongating beta-hydroxyl
thailanstatin_TstC2_KS2_0bOH	Clade_60	Non-elongating beta-hydroxyl
nosperin_NspC5_KS5_aMebOH	Clade_60	Non-elongating beta-hydroxyl
bryostatin_BryC4_KS11_0bDOH	Clade_60	Non-elongating beta-hydroxyl
luminaolid_LumD1_KS11_0bimod_bDOH	Clade_60	Non-elongating beta-hydroxyl
misakinolide_MisE1_KS11_0bDOH	Clade_60	Non-elongating beta-hydroxyl
tolytoxin_TtoE5_KS11_0bDOH	Clade_60	Non-elongating beta-hydroxyl
calyculin_CalE5_KS14_0bLOH	Clade_60	Non-elongating beta-hydroxyl
calyculin_CalF3_KS18_0bDOH	Clade_60	Non-elongating beta-hydroxyl
thailandamide_TaiN1_KS16_0aDMebDOH	Clade_60	Non-elongating beta-hydroxyl
oxazolomycin_OzmJ2_KS11_0aLOMebketo	Clade_60	Non-elongating beta-hydroxyl
rhizoxins_RhiE3_KS14_0eDB	Clade_61	Non-elongating double bond before branching
dorrigocin_migrastatin_MgsE2_KS2_0zDB	Clade_61	Non-elongating double bond before branching
cycloheximide_ChxE2_KS2_0zDB	Clade_61	Non-elongating double bond before branching
9-methylstreptimidone_SmdI2_KS2_ozDB	Clade_61	Non-elongating double bond before branching
rhizoxins_RhiB4_KS5_eDB	Clade_62	E-configured double bonds
bryostatin_BryB3_KS6_eDB	Clade_62	E-configured double bonds
bryostatin_BryX2_KS15_0	Clade_62	E-configured double bonds
calyculin_CalC3_KS9_eDB	Clade_62	E-configured double bonds
calyculin_CalG4_KS24_eDB	Clade_62	E-configured double bonds
onnamide_OnnJ2_KS12_bimod_eDB	Clade_62	E-configured double bonds
phormidolide_phmI_4_KS16_eDB	Clade_62	E-configured double bonds
pederin_PedH3_KS12_bimod_bOH	Clade_62	E-configured double bonds
FR901464_Fr9GH1_KS8_eDB	Clade_62	E-configured double bonds
thailanstatin_TstGH1_KS8_eDB	Clade_62	E-configured double bonds
difficidin_DifK1_KS13_eDB	Clade_62	E-configured double bonds
thailandamide_TaiE2_KS6_eDB	Clade_57	E-configured double bonds
thailandamide_TaiD3_KS3_eDB	Clade_63	Mainly E-configured double bonds
SIA7248_SiaF2_KS5_bDOH	Clade_57	Mainly E-configured double bonds
thiomarinol_TmpD3_KS3_eDB	Clade_63	Mainly E-configured double bonds
mupirocin_MmpD3_KS3_eDB	Clade_63	Mainly E-configured double bonds
thailandamide_TaiM2_KS14_eDB	Clade_63	Mainly E-configured double bonds
dorrigocin_migrastatin_MgsF3_KS6_aMeeDB	Clade_63	Mainly E-configured double bonds
thiomarinol_TmpB1_KS8_eDBbMe	Clade_63	Mainly E-configured double bonds
mupirocin_MmpB1_KS8_esterification	Clade_63	Mainly E-configured double bonds
